field	2.spe
 333.625	 16215
 333.627	 16215
 333.629	 16215
 333.632	 16215
 333.634	 16215
 333.636	 16215
 333.639	 16215
 333.641	 16215
 333.643	 16215
 333.646	 16215
 333.648	 16215
 333.650	 16215
 333.653	 16215
 333.655	 16230
 333.657	 16240
 333.660	 16240
 333.662	 16230
 333.664	 16230
 333.667	 16230
 333.669	 16230
 333.672	 16230
 333.674	 16240
 333.676	 16215
 333.679	 16230
 333.681	 16230
 333.683	 16230
 333.686	 16215
 333.688	 16215
 333.690	 16230
 333.693	 16240
 333.695	 16230
 333.697	 16240
 333.700	 16240
 333.702	 16240
 333.704	 16240
 333.707	 16240
 333.709	 16230
 333.711	 16230
 333.714	 16230
 333.716	 16230
 333.718	 16230
 333.721	 16230
 333.723	 16230
 333.725	 16230
 333.728	 16240
 333.730	 16230
 333.732	 16230
 333.735	 16230
 333.737	 16230
 333.739	 16230
 333.742	 16230
 333.744	 16215
 333.747	 16215
 333.749	 16215
 333.751	 16215
 333.754	 16230
 333.756	 16240
 333.758	 16240
 333.761	 16240
 333.763	 16230
 333.765	 16240
 333.768	 16240
 333.770	 16240
 333.772	 16240
 333.775	 16230
 333.777	 16240
 333.779	 16240
 333.782	 16240
 333.784	 16240
 333.786	 16240
 333.789	 16240
 333.791	 16240
 333.793	 16240
 333.796	 16240
 333.798	 16230
 333.800	 16230
 333.803	 16230
 333.805	 16230
 333.807	 16230
 333.810	 16240
 333.812	 16240
 333.815	 16230
 333.817	 16230
 333.819	 16230
 333.822	 16240
 333.824	 16240
 333.826	 16230
 333.829	 16240
 333.831	 16270
 333.833	 16270
 333.836	 16255
 333.838	 16255
 333.840	 16255
 333.843	 16255
 333.845	 16255
 333.847	 16240
 333.850	 16255
 333.852	 16255
 333.854	 16255
 333.857	 16240
 333.859	 16270
 333.861	 16255
 333.864	 16270
 333.866	 16255
 333.868	 16255
 333.871	 16270
 333.873	 16255
 333.875	 16240
 333.878	 16240
 333.880	 16255
 333.882	 16240
 333.885	 16240
 333.887	 16240
 333.890	 16240
 333.892	 16230
 333.894	 16240
 333.897	 16230
 333.899	 16240
 333.901	 16230
 333.904	 16240
 333.906	 16240
 333.908	 16240
 333.911	 16240
 333.913	 16240
 333.915	 16240
 333.918	 16240
 333.920	 16255
 333.922	 16270
 333.925	 16270
 333.927	 16270
 333.929	 16270
 333.932	 16270
 333.934	 16280
 333.936	 16280
 333.939	 16270
 333.941	 16270
 333.943	 16280
 333.946	 16270
 333.948	 16270
 333.950	 16270
 333.953	 16270
 333.955	 16270
 333.958	 16280
 333.960	 16280
 333.962	 16295
 333.965	 16270
 333.967	 16280
 333.969	 16280
 333.972	 16280
 333.974	 16280
 333.976	 16280
 333.979	 16255
 333.981	 16255
 333.983	 16255
 333.986	 16255
 333.988	 16240
 333.990	 16240
 333.993	 16240
 333.995	 16240
 333.997	 16240
 334.000	 16230
 334.002	 16230
 334.004	 16230
 334.007	 16230
 334.009	 16230
 334.011	 16240
 334.014	 16240
 334.016	 16240
 334.018	 16240
 334.021	 16230
 334.023	 16255
 334.025	 16255
 334.028	 16255
 334.030	 16255
 334.033	 16270
 334.035	 16270
 334.037	 16270
 334.040	 16270
 334.042	 16280
 334.044	 16280
 334.047	 16280
 334.049	 16270
 334.051	 16295
 334.054	 16295
 334.056	 16295
 334.058	 16295
 334.061	 16280
 334.063	 16295
 334.065	 16280
 334.068	 16280
 334.070	 16295
 334.072	 16310
 334.075	 16295
 334.077	 16310
 334.079	 16295
 334.082	 16295
 334.084	 16295
 334.086	 16295
 334.089	 16295
 334.091	 16295
 334.093	 16310
 334.096	 16310
 334.098	 16310
 334.101	 16310
 334.103	 16310
 334.105	 16310
 334.108	 16310
 334.110	 16310
 334.112	 16310
 334.115	 16310
 334.117	 16310
 334.119	 16320
 334.122	 16320
 334.124	 16320
 334.126	 16320
 334.129	 16335
 334.131	 16320
 334.133	 16320
 334.136	 16320
 334.138	 16320
 334.140	 16320
 334.143	 16320
 334.145	 16320
 334.147	 16320
 334.150	 16320
 334.152	 16310
 334.154	 16335
 334.157	 16320
 334.159	 16335
 334.161	 16350
 334.164	 16350
 334.166	 16335
 334.169	 16310
 334.171	 16320
 334.173	 16335
 334.176	 16320
 334.178	 16320
 334.180	 16320
 334.183	 16335
 334.185	 16335
 334.187	 16350
 334.190	 16360
 334.192	 16360
 334.194	 16360
 334.197	 16360
 334.199	 16360
 334.201	 16360
 334.204	 16360
